NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
NaN	1	1/inline=1/anims=0
19	1	1/inline=1/anims=0
36	1	0.931655/inline=1/anims=1
53	1	0.852617/inline=1/anims=1
69	1	0.753369/inline=1/anims=1
86	1	0.645935/inline=1/anims=1
102	1	0.538546/inline=1/anims=1
119	1	0.440344/inline=1/anims=1
136	1	0.352578/inline=1/anims=1
153	1	0.277082/inline=1/anims=1
169	1	0.212564/inline=1/anims=1
186	1	0.158933/inline=1/anims=1
204	1	0.114295/inline=1/anims=1
222	1	0.0787289/inline=1/anims=1
240	1	0.0507596/inline=1/anims=1
259	1	0.0294908/inline=1/anims=1
279	1	0.0144124/inline=1/anims=1
298	1	0.00491616/inline=1/anims=1
317	1	0.000474418/inline=1/anims=1
337	1	0/inline=0/anims=0
353	0	-
369	0	-
386	0	-
403	0	-
419	0	-
436	0	-
452	0	-
469	0	-
486	0	-
502	0	-
519	0	-
536	0	-
552	0	-
569	0	-
586	0	-
603	0	-
619	0	-
636	0	-
652	0	-
669	0	-
686	0	-
702	0	-
719	0	-
736	0	-
752	0	-
769	0	-
786	0	-
802	0	-
819	0	-
836	0	-
852	0	-
869	0	-
886	0	-
903	0	-
919	0	-
936	0	-
952	0	-
969	0	-
986	0	-
1002	0	-
1019	0	-
1036	0	-
1053	0	-
1069	0	-
1086	0	-
1102	0	-
1119	0	-
1136	0	-
1152	0	-
1169	0	-
1186	0	-
1203	0	-
